Team,DATE,Points
Middle Tennessee Blue Raiders,"Fri, Jan 23",58
Middle Tennessee Blue Raiders,"Thu, Jan 29",65
Middle Tennessee Blue Raiders,"Sat, Jan 31",60
Middle Tennessee Blue Raiders,"Wed, Feb 4",84
Middle Tennessee Blue Raiders,"Sat, Feb 7",88
Middle Tennessee Blue Raiders,"Thu, Feb 12",90
Middle Tennessee Blue Raiders,"Sat, Feb 14",80
Middle Tennessee Blue Raiders,"Wed, Feb 18",70
Middle Tennessee Blue Raiders,"Sat, Feb 21",78
Middle Tennessee Blue Raiders,"Thu, Feb 26",77
Middle Tennessee Blue Raiders,"Sat, Feb 28",86
Middle Tennessee Blue Raiders,"Thu, Mar 5",73
Middle Tennessee Blue Raiders,"Sat, Mar 7",75
Middle Tennessee Blue Raiders,"Thu, Mar 12",69
TCU Horned Frogs,"Thu, Mar 19",66
TCU Horned Frogs,"Mon, Nov 3",74
TCU Horned Frogs,"Thu, Nov 6",104
TCU Horned Frogs,"Mon, Nov 10",78
TCU Horned Frogs,"Fri, Nov 14",63
TCU Horned Frogs,"Wed, Nov 19",81
TCU Horned Frogs,"Thu, Nov 27",84
TCU Horned Frogs,"Fri, Nov 28",74
TCU Horned Frogs,"Fri, Dec 5",85
TCU Horned Frogs,"Sun, Dec 7",65
TCU Horned Frogs,"Mon, Dec 15",69
TCU Horned Frogs,"Thu, Dec 18",72
TCU Horned Frogs,"Sun, Dec 21",80
TCU Horned Frogs,"Mon, Dec 29",115
TCU Horned Frogs,"Sat, Jan 3",69
TCU Horned Frogs,"Tue, Jan 6",100
TCU Horned Frogs,"Sat, Jan 10",73
TCU Horned Frogs,"Wed, Jan 14",70
TCU Horned Frogs,"Sat, Jan 17",79
TCU Horned Frogs,"Tue, Jan 20",68
TCU Horned Frogs,"Sat, Jan 24",97
TCU Horned Frogs,"Wed, Jan 28",70
TCU Horned Frogs,"Sun, Feb 1",61
TCU Horned Frogs,"Sat, Feb 7",84
TCU Horned Frogs,"Tue, Feb 10",62
TCU Horned Frogs,"Sat, Feb 14",95
TCU Horned Frogs,"Tue, Feb 17",71
TCU Horned Frogs,"Sat, Feb 21",60
TCU Horned Frogs,"Tue, Feb 24",90
TCU Horned Frogs,"Sat, Feb 28",77
TCU Horned Frogs,"Tue, Mar 3",73
TCU Horned Frogs,"Sat, Mar 7",73
TCU Horned Frogs,"Wed, Mar 11",95
TCU Horned Frogs,"Thu, Mar 12",73
UTSA Roadrunners,"Wed, Nov 5",97
UTSA Roadrunners,"Fri, Nov 7",60
UTSA Roadrunners,"Wed, Nov 12",69
UTSA Roadrunners,"Sat, Nov 15",84
UTSA Roadrunners,"Tue, Nov 18",103
UTSA Roadrunners,"Mon, Nov 24",50
UTSA Roadrunners,"Tue, Nov 25",77
UTSA Roadrunners,"Sun, Nov 30",58
UTSA Roadrunners,"Sun, Dec 7",55
UTSA Roadrunners,"Sat, Dec 13",64
UTSA Roadrunners,"Wed, Dec 17",70
UTSA Roadrunners,"Mon, Dec 22",68
UTSA Roadrunners,"Wed, Dec 31",70
UTSA Roadrunners,"Sat, Jan 3",57
UTSA Roadrunners,"Wed, Jan 7",58
UTSA Roadrunners,"Sat, Jan 10",52
UTSA Roadrunners,"Wed, Jan 14",73
UTSA Roadrunners,"Sun, Jan 18",69
UTSA Roadrunners,"Wed, Jan 21",62
UTSA Roadrunners,"Sat, Jan 24",64
UTSA Roadrunners,"Wed, Jan 28",73
UTSA Roadrunners,"Wed, Feb 4",88
UTSA Roadrunners,"Sat, Feb 7",58
UTSA Roadrunners,"Wed, Feb 11",72
UTSA Roadrunners,"Sun, Feb 15",88
UTSA Roadrunners,"Wed, Feb 18",52
UTSA Roadrunners,"Sun, Feb 22",74
UTSA Roadrunners,"Wed, Feb 25",81
UTSA Roadrunners,"Sun, Mar 1",67
UTSA Roadrunners,"Sun, Mar 8",71
Southern Illinois Salukis,"Mon, Nov 3",83
Southern Illinois Salukis,"Fri, Nov 7",101
Southern Illinois Salukis,"Wed, Nov 12",81
Southern Illinois Salukis,"Mon, Nov 17",85
Southern Illinois Salukis,"Sun, Nov 23",79
Southern Illinois Salukis,"Mon, Nov 24",73
Southern Illinois Salukis,"Wed, Nov 26",58
Southern Illinois Salukis,"Sat, Nov 29",74
Southern Illinois Salukis,"Wed, Dec 3",86
Southern Illinois Salukis,"Wed, Dec 10",83
Southern Illinois Salukis,"Sat, Dec 13",84
Southern Illinois Salukis,"Thu, Dec 18",68
Southern Illinois Salukis,"Sun, Dec 21",69
Southern Illinois Salukis,"Mon, Dec 29",81
Southern Illinois Salukis,"Thu, Jan 1",75
Southern Illinois Salukis,"Sun, Jan 4",68
Southern Illinois Salukis,"Wed, Jan 7",57
Southern Illinois Salukis,"Wed, Jan 14",73
Southern Illinois Salukis,"Sat, Jan 17",68
Southern Illinois Salukis,"Wed, Jan 21",63
Southern Illinois Salukis,"Wed, Jan 28",65
Southern Illinois Salukis,"Sat, Jan 31",66
Southern Illinois Salukis,"Tue, Feb 3",54
Southern Illinois Salukis,"Fri, Feb 6",81
Southern Illinois Salukis,"Mon, Feb 9",80
Southern Illinois Salukis,"Thu, Feb 12",86
Southern Illinois Salukis,"Sun, Feb 15",60
Southern Illinois Salukis,"Wed, Feb 18",66
Southern Illinois Salukis,"Sat, Feb 21",59
Southern Illinois Salukis,"Wed, Feb 25",66
Southern Illinois Salukis,"Sun, Mar 1",81
Southern Illinois Salukis,"Thu, Mar 5",63
Princeton Tigers,"Sat, Nov 8",69
Princeton Tigers,"Tue, Nov 11",73
Princeton Tigers,"Thu, Nov 13",100
Princeton Tigers,"Sat, Nov 15",57
Princeton Tigers,"Tue, Nov 18",69
Princeton Tigers,"Thu, Nov 20",70
Princeton Tigers,"Mon, Nov 24",64
Princeton Tigers,"Tue, Nov 25",75
Princeton Tigers,"Wed, Nov 26",74
Princeton Tigers,"Sun, Nov 30",58
Princeton Tigers,"Wed, Dec 3",58
Princeton Tigers,"Sat, Dec 6",68
Princeton Tigers,"Wed, Dec 10",56
Princeton Tigers,"Mon, Dec 22",61
Princeton Tigers,"Tue, Dec 30",75
Princeton Tigers,"Mon, Jan 5",78
Princeton Tigers,"Sat, Jan 10",76
Princeton Tigers,"Sat, Jan 17",80
Princeton Tigers,"Mon, Jan 19",69
Princeton Tigers,"Sat, Jan 24",63
Princeton Tigers,"Fri, Jan 30",64
Princeton Tigers,"Sat, Jan 31",80
Princeton Tigers,"Sat, Feb 7",60
Princeton Tigers,"Fri, Feb 13",65
Princeton Tigers,"Sat, Feb 14",65
Princeton Tigers,"Fri, Feb 20",71
Princeton Tigers,"Fri, Feb 27",56
Princeton Tigers,"Sat, Feb 28",82
Princeton Tigers,"Sat, Mar 7",53
Kansas Jayhawks,"Fri, Mar 20",68
Kansas Jayhawks,"Mon, Nov 3",94
Kansas Jayhawks,"Fri, Nov 7",74
Kansas Jayhawks,"Tue, Nov 11",77
Kansas Jayhawks,"Sat, Nov 15",76
Kansas Jayhawks,"Tue, Nov 18",66
Kansas Jayhawks,"Mon, Nov 24",71
Kansas Jayhawks,"Tue, Nov 25",71
Kansas Jayhawks,"Wed, Nov 26",81
Kansas Jayhawks,"Tue, Dec 2",56
Kansas Jayhawks,"Sun, Dec 7",80
Kansas Jayhawks,"Sat, Dec 13",77
Kansas Jayhawks,"Tue, Dec 16",73
Kansas Jayhawks,"Mon, Dec 22",90
Kansas Jayhawks,"Sat, Jan 3",75
Kansas Jayhawks,"Tue, Jan 6",104
Kansas Jayhawks,"Sat, Jan 10",75
Kansas Jayhawks,"Tue, Jan 13",84
Kansas Jayhawks,"Fri, Jan 16",80
Kansas Jayhawks,"Tue, Jan 20",75
Kansas Jayhawks,"Sat, Jan 24",86
Kansas Jayhawks,"Sat, Jan 31",90
Kansas Jayhawks,"Mon, Feb 2",64
Kansas Jayhawks,"Sat, Feb 7",71
Kansas Jayhawks,"Mon, Feb 9",82
Kansas Jayhawks,"Sat, Feb 14",56
Kansas Jayhawks,"Wed, Feb 18",81
Kansas Jayhawks,"Sat, Feb 21",68
Kansas Jayhawks,"Mon, Feb 23",69
Kansas Jayhawks,"Sat, Feb 28",61
Kansas Jayhawks,"Tue, Mar 3",60
Kansas Jayhawks,"Sat, Mar 7",104
Kansas Jayhawks,"Thu, Mar 12",78
Kansas Jayhawks,"Fri, Mar 13",47
Missouri State Bears,"Tue, Nov 4",88
Missouri State Bears,"Sat, Nov 8",106
Missouri State Bears,"Tue, Nov 11",85
Missouri State Bears,"Sat, Nov 15",49
Missouri State Bears,"Sat, Nov 22",74
Missouri State Bears,"Mon, Nov 24",61
Missouri State Bears,"Sun, Nov 30",92
Missouri State Bears,"Sat, Dec 6",74
Missouri State Bears,"Fri, Dec 12",57
Missouri State Bears,"Tue, Dec 16",63
Missouri State Bears,"Tue, Dec 23",70
Missouri State Bears,"Mon, Dec 29",61
Missouri State Bears,"Fri, Jan 2",79
Missouri State Bears,"Sun, Jan 4",89
Missouri State Bears,"Wed, Jan 7",80
Missouri State Bears,"Sat, Jan 10",79
Missouri State Bears,"Wed, Jan 14",72
Missouri State Bears,"Sat, Jan 17",87
Missouri State Bears,"Thu, Jan 22",84
Missouri State Bears,"Sat, Jan 24",62
Missouri State Bears,"Wed, Jan 28",71
Missouri State Bears,"Sat, Jan 31",74
Missouri State Bears,"Sat, Feb 7",76
Missouri State Bears,"Thu, Feb 12",78
Missouri State Bears,"Sat, Feb 14",67
Missouri State Bears,"Wed, Feb 18",87
Missouri State Bears,"Sat, Feb 21",67
Missouri State Bears,"Thu, Feb 26",70
Missouri State Bears,"Sat, Feb 28",81
Missouri State Bears,"Thu, Mar 5",87
Missouri State Bears,"Sat, Mar 7",63
Missouri State Bears,"Tue, Mar 10",75
Missouri State Bears,"Wed, Mar 11",77
Missouri State Bears,"Fri, Mar 13",66
Rhode Island Rams,"Mon, Nov 3",93
Rhode Island Rams,"Fri, Nov 7",65
Rhode Island Rams,"Tue, Nov 11",80
Rhode Island Rams,"Fri, Nov 14",80
Rhode Island Rams,"Tue, Nov 18",86
Rhode Island Rams,"Mon, Nov 24",55
Rhode Island Rams,"Tue, Nov 25",80
Rhode Island Rams,"Wed, Nov 26",90
Rhode Island Rams,"Tue, Dec 2",66
Rhode Island Rams,"Sat, Dec 6",71
Rhode Island Rams,"Tue, Dec 9",64
Rhode Island Rams,"Tue, Dec 16",62
Rhode Island Rams,"Mon, Dec 22",85
Rhode Island Rams,"Wed, Dec 31",57
Rhode Island Rams,"Sat, Jan 3",50
Rhode Island Rams,"Wed, Jan 7",72
Rhode Island Rams,"Sat, Jan 10",70
Rhode Island Rams,"Wed, Jan 14",75
Rhode Island Rams,"Wed, Jan 21",69
Rhode Island Rams,"Sat, Jan 24",74
Rhode Island Rams,"Tue, Jan 27",81
Rhode Island Rams,"Sun, Feb 1",61
Rhode Island Rams,"Sat, Feb 7",82
Rhode Island Rams,"Tue, Feb 10",70
Rhode Island Rams,"Sat, Feb 14",66
Rhode Island Rams,"Tue, Feb 17",81
Rhode Island Rams,"Sat, Feb 21",46
Rhode Island Rams,"Thu, Feb 26",76
Rhode Island Rams,"Sat, Feb 28",55
Rhode Island Rams,"Wed, Mar 4",64
Rhode Island Rams,"Sat, Mar 7",49
Rhode Island Rams,"Thu, Mar 12",61
Texas State Bobcats,"Mon, Nov 3",48
Texas State Bobcats,"Wed, Nov 5",114
Texas State Bobcats,"Sat, Nov 8",71
Texas State Bobcats,"Wed, Nov 12",80
Texas State Bobcats,"Sat, Nov 15",77
Texas State Bobcats,"Tue, Nov 18",63
Texas State Bobcats,"Fri, Nov 21",65
Texas State Bobcats,"Mon, Nov 24",93
Texas State Bobcats,"Fri, Nov 28",52
Texas State Bobcats,"Sat, Nov 29",74
Texas State Bobcats,"Wed, Dec 3",72
Texas State Bobcats,"Wed, Dec 10",86
Texas State Bobcats,"Wed, Dec 17",70
Texas State Bobcats,"Sat, Dec 20",67
Texas State Bobcats,"Wed, Dec 31",80
Texas State Bobcats,"Sat, Jan 3",84
Texas State Bobcats,"Thu, Jan 8",70
Texas State Bobcats,"Sat, Jan 10",82
Texas State Bobcats,"Wed, Jan 14",59
Texas State Bobcats,"Sat, Jan 17",74
Texas State Bobcats,"Thu, Jan 22",70
Texas State Bobcats,"Sat, Jan 24",57
Texas State Bobcats,"Wed, Jan 28",72
Texas State Bobcats,"Sat, Jan 31",81
Texas State Bobcats,"Wed, Feb 4",77
Texas State Bobcats,"Sat, Feb 7",77
Texas State Bobcats,"Wed, Feb 11",74
Texas State Bobcats,"Sat, Feb 14",95
Texas State Bobcats,"Thu, Feb 19",90
Texas State Bobcats,"Sat, Feb 21",54
Texas State Bobcats,"Fri, Feb 27",60
Texas State Bobcats,"Fri, Mar 6",77
North Florida Ospreys,"Thu, Nov 6",64
North Florida Ospreys,"Wed, Nov 12",66
North Florida Ospreys,"Sat, Nov 15",122
North Florida Ospreys,"Wed, Nov 19",78
North Florida Ospreys,"Sat, Nov 22",83
North Florida Ospreys,"Sun, Nov 23",82
North Florida Ospreys,"Sat, Nov 29",111
North Florida Ospreys,"Tue, Dec 2",63
North Florida Ospreys,"Sun, Dec 7",58
North Florida Ospreys,"Sat, Dec 13",61
North Florida Ospreys,"Thu, Dec 18",90
North Florida Ospreys,"Sun, Dec 21",67
North Florida Ospreys,"Sun, Dec 28",82
North Florida Ospreys,"Thu, Jan 1",83
North Florida Ospreys,"Sat, Jan 3",74
North Florida Ospreys,"Thu, Jan 8",73
North Florida Ospreys,"Sat, Jan 10",82
North Florida Ospreys,"Thu, Jan 15",105
North Florida Ospreys,"Sat, Jan 17",69
North Florida Ospreys,"Thu, Jan 22",87
North Florida Ospreys,"Sat, Jan 24",117
North Florida Ospreys,"Thu, Jan 29",77
North Florida Ospreys,"Sat, Jan 31",94
North Florida Ospreys,"Thu, Feb 5",81
North Florida Ospreys,"Sat, Feb 7",72
North Florida Ospreys,"Wed, Feb 11",81
North Florida Ospreys,"Sat, Feb 14",56
North Florida Ospreys,"Thu, Feb 19",76
North Florida Ospreys,"Sat, Feb 21",71
North Florida Ospreys,"Thu, Feb 26",76
North Florida Ospreys,"Sat, Feb 28",61
North Florida Ospreys,"Wed, Mar 4",85
Nebraska Cornhuskers,"Thu, Mar 19",76
Nebraska Cornhuskers,"Mon, Nov 3",86
Nebraska Cornhuskers,"Sat, Nov 8",96
Nebraska Cornhuskers,"Tue, Nov 11",69
Nebraska Cornhuskers,"Sat, Nov 15",105
Nebraska Cornhuskers,"Thu, Nov 20",84
Nebraska Cornhuskers,"Fri, Nov 21",86
Nebraska Cornhuskers,"Tue, Nov 25",80
Nebraska Cornhuskers,"Sat, Nov 29",72
Nebraska Cornhuskers,"Sun, Dec 7",71
Nebraska Cornhuskers,"Wed, Dec 10",90
Nebraska Cornhuskers,"Sat, Dec 13",83
Nebraska Cornhuskers,"Sun, Dec 21",78
Nebraska Cornhuskers,"Tue, Dec 30",86
Nebraska Cornhuskers,"Fri, Jan 2",58
Nebraska Cornhuskers,"Mon, Jan 5",72
Nebraska Cornhuskers,"Sat, Jan 10",83
Nebraska Cornhuskers,"Tue, Jan 13",90
Nebraska Cornhuskers,"Sat, Jan 17",77
Nebraska Cornhuskers,"Wed, Jan 21",76
Nebraska Cornhuskers,"Sat, Jan 24",76
Nebraska Cornhuskers,"Tue, Jan 27",72
Nebraska Cornhuskers,"Sun, Feb 1",69
Nebraska Cornhuskers,"Sat, Feb 7",80
Nebraska Cornhuskers,"Tue, Feb 10",77
Nebraska Cornhuskers,"Sat, Feb 14",68
Nebraska Cornhuskers,"Tue, Feb 17",52
Nebraska Cornhuskers,"Sat, Feb 21",87
Nebraska Cornhuskers,"Wed, Feb 25",74
Nebraska Cornhuskers,"Sat, Feb 28",82
Nebraska Cornhuskers,"Tue, Mar 3",52
Nebraska Cornhuskers,"Sun, Mar 8",84
Nebraska Cornhuskers,"Fri, Mar 13",58
Gonzaga Bulldogs,"Thu, Mar 19",73
Gonzaga Bulldogs,"Mon, Nov 3",98
Gonzaga Bulldogs,"Sat, Nov 8",83
Gonzaga Bulldogs,"Tue, Nov 11",90
Gonzaga Bulldogs,"Fri, Nov 14",77
Gonzaga Bulldogs,"Mon, Nov 17",122
Gonzaga Bulldogs,"Mon, Nov 24",95
Gonzaga Bulldogs,"Tue, Nov 25",100
Gonzaga Bulldogs,"Wed, Nov 26",61
Gonzaga Bulldogs,"Fri, Dec 5",94
Gonzaga Bulldogs,"Sun, Dec 7",109
Gonzaga Bulldogs,"Sat, Dec 13",82
Gonzaga Bulldogs,"Wed, Dec 17",98
Gonzaga Bulldogs,"Sun, Dec 21",91
Gonzaga Bulldogs,"Sun, Dec 28",96
Gonzaga Bulldogs,"Tue, Dec 30",99
Gonzaga Bulldogs,"Fri, Jan 2",80
Gonzaga Bulldogs,"Sun, Jan 4",82
Gonzaga Bulldogs,"Thu, Jan 8",89
Gonzaga Bulldogs,"Thu, Jan 15",86
Gonzaga Bulldogs,"Sat, Jan 17",71
Gonzaga Bulldogs,"Wed, Jan 21",84
Gonzaga Bulldogs,"Sat, Jan 24",68
Gonzaga Bulldogs,"Sat, Jan 31",73
Gonzaga Bulldogs,"Wed, Feb 4",80
Gonzaga Bulldogs,"Sat, Feb 7",81
Gonzaga Bulldogs,"Tue, Feb 10",83
Gonzaga Bulldogs,"Sat, Feb 14",94
Gonzaga Bulldogs,"Wed, Feb 18",80
Gonzaga Bulldogs,"Sat, Feb 21",71
Gonzaga Bulldogs,"Wed, Feb 25",89
Gonzaga Bulldogs,"Sat, Feb 28",59
Gonzaga Bulldogs,"Mon, Mar 9",65
Gonzaga Bulldogs,"Tue, Mar 10",79
St. Bonaventure Bonnies,"Mon, Nov 3",69
St. Bonaventure Bonnies,"Sat, Nov 8",89
St. Bonaventure Bonnies,"Wed, Nov 12",75
St. Bonaventure Bonnies,"Sat, Nov 15",84
St. Bonaventure Bonnies,"Thu, Nov 20",75
St. Bonaventure Bonnies,"Tue, Nov 25",70
St. Bonaventure Bonnies,"Thu, Nov 27",67
St. Bonaventure Bonnies,"Sun, Nov 30",70
St. Bonaventure Bonnies,"Wed, Dec 3",83
St. Bonaventure Bonnies,"Sat, Dec 6",77
St. Bonaventure Bonnies,"Wed, Dec 10",85
St. Bonaventure Bonnies,"Sat, Dec 13",83
St. Bonaventure Bonnies,"Sat, Dec 20",92
St. Bonaventure Bonnies,"Wed, Dec 31",82
St. Bonaventure Bonnies,"Wed, Jan 7",80
St. Bonaventure Bonnies,"Sat, Jan 10",77
St. Bonaventure Bonnies,"Wed, Jan 14",64
St. Bonaventure Bonnies,"Sat, Jan 17",74
St. Bonaventure Bonnies,"Tue, Jan 20",84
St. Bonaventure Bonnies,"Fri, Jan 23",62
St. Bonaventure Bonnies,"Wed, Jan 28",87
St. Bonaventure Bonnies,"Sat, Jan 31",73
St. Bonaventure Bonnies,"Tue, Feb 3",70
St. Bonaventure Bonnies,"Sat, Feb 7",70
St. Bonaventure Bonnies,"Sat, Feb 14",73
St. Bonaventure Bonnies,"Wed, Feb 18",65
St. Bonaventure Bonnies,"Sat, Feb 21",94
St. Bonaventure Bonnies,"Thu, Feb 26",94
St. Bonaventure Bonnies,"Sat, Feb 28",58
St. Bonaventure Bonnies,"Wed, Mar 4",82
St. Bonaventure Bonnies,"Sat, Mar 7",63
St. Bonaventure Bonnies,"Wed, Mar 11",99
St. Bonaventure Bonnies,"Thu, Mar 12",63
St. Bonaventure Bonnies,"Fri, Mar 13",63
Green Bay Phoenix,"Mon, Nov 3",51
Green Bay Phoenix,"Fri, Nov 7",76
Green Bay Phoenix,"Mon, Nov 10",83
Green Bay Phoenix,"Thu, Nov 13",61
Green Bay Phoenix,"Sat, Nov 15",65
Green Bay Phoenix,"Fri, Nov 21",67
Green Bay Phoenix,"Sat, Nov 22",79
Green Bay Phoenix,"Mon, Nov 24",80
Green Bay Phoenix,"Sat, Nov 29",95
Green Bay Phoenix,"Thu, Dec 4",78
Green Bay Phoenix,"Sun, Dec 7",58
Green Bay Phoenix,"Thu, Dec 11",85
Green Bay Phoenix,"Wed, Dec 17",67
Green Bay Phoenix,"Tue, Dec 23",79
Green Bay Phoenix,"Thu, Jan 1",72
Green Bay Phoenix,"Mon, Jan 5",79
Green Bay Phoenix,"Fri, Jan 9",75
Green Bay Phoenix,"Sun, Jan 11",80
Green Bay Phoenix,"Thu, Jan 15",88
Green Bay Phoenix,"Sun, Jan 18",63
Green Bay Phoenix,"Thu, Jan 22",81
Green Bay Phoenix,"Sat, Jan 24",71
Green Bay Phoenix,"Fri, Jan 30",82
Green Bay Phoenix,"Sun, Feb 1",75
Green Bay Phoenix,"Wed, Feb 4",87
Green Bay Phoenix,"Sat, Feb 7",76
Green Bay Phoenix,"Thu, Feb 12",76
Green Bay Phoenix,"Sun, Feb 15",72
Green Bay Phoenix,"Fri, Feb 20",73
Green Bay Phoenix,"Sun, Feb 22",70
Green Bay Phoenix,"Sat, Feb 28",85
Green Bay Phoenix,"Tue, Mar 3",64
Green Bay Phoenix,"Sun, Mar 8",76
LSU Tigers,"Wed, Nov 5",96
LSU Tigers,"Mon, Nov 10",93
LSU Tigers,"Thu, Nov 13",98
LSU Tigers,"Tue, Nov 18",107
LSU Tigers,"Fri, Nov 21",99
LSU Tigers,"Fri, Nov 28",71
LSU Tigers,"Sat, Nov 29",96
LSU Tigers,"Wed, Dec 3",78
LSU Tigers,"Sun, Dec 7",58
LSU Tigers,"Sat, Dec 13",89
LSU Tigers,"Fri, Dec 19",78
LSU Tigers,"Mon, Dec 22",104
LSU Tigers,"Mon, Dec 29",90
LSU Tigers,"Sat, Jan 3",72
LSU Tigers,"Tue, Jan 6",68
LSU Tigers,"Sat, Jan 10",73
LSU Tigers,"Wed, Jan 14",74
LSU Tigers,"Sat, Jan 17",78
LSU Tigers,"Tue, Jan 20",61
LSU Tigers,"Sat, Jan 24",81
LSU Tigers,"Wed, Jan 28",66
LSU Tigers,"Sat, Jan 31",92
LSU Tigers,"Sat, Feb 7",71
LSU Tigers,"Tue, Feb 10",62
LSU Tigers,"Sat, Feb 14",63
LSU Tigers,"Tue, Feb 17",85
LSU Tigers,"Sat, Feb 21",83
LSU Tigers,"Wed, Feb 25",106
LSU Tigers,"Sat, Feb 28",67
LSU Tigers,"Tue, Mar 3",74
LSU Tigers,"Sat, Mar 7",91
LSU Tigers,"Wed, Mar 11",82
Akron Zips,"Fri, Mar 20",71
Akron Zips,"Mon, Nov 3",85
Akron Zips,"Sat, Nov 8",104
Akron Zips,"Wed, Nov 12",109
Akron Zips,"Sun, Nov 16",79
Akron Zips,"Fri, Nov 21",96
Akron Zips,"Sun, Nov 23",97
Akron Zips,"Mon, Nov 24",94
Akron Zips,"Sat, Nov 29",105
Akron Zips,"Wed, Dec 3",97
Akron Zips,"Sat, Dec 6",88
Akron Zips,"Sat, Dec 13",100
Akron Zips,"Fri, Dec 19",93
Akron Zips,"Mon, Dec 29",115
Akron Zips,"Sat, Jan 3",73
Akron Zips,"Tue, Jan 6",82
Akron Zips,"Fri, Jan 9",77
Akron Zips,"Tue, Jan 13",87
Akron Zips,"Sat, Jan 17",104
Akron Zips,"Tue, Jan 20",82
Akron Zips,"Fri, Jan 23",86
Akron Zips,"Tue, Jan 27",91
Akron Zips,"Fri, Jan 30",69
Akron Zips,"Tue, Feb 3",66
Akron Zips,"Sat, Feb 7",69
Akron Zips,"Fri, Feb 13",99
Akron Zips,"Tue, Feb 17",90
Akron Zips,"Fri, Feb 20",78
Akron Zips,"Tue, Feb 24",99
Akron Zips,"Fri, Feb 27",92
Akron Zips,"Tue, Mar 3",77
Akron Zips,"Fri, Mar 6",94
Akron Zips,"Thu, Mar 12",73
Akron Zips,"Fri, Mar 13",75
Akron Zips,"Sat, Mar 14",79
Fairfield Stags,"Mon, Nov 3",68
Fairfield Stags,"Sat, Nov 8",74
Fairfield Stags,"Mon, Nov 10",59
Fairfield Stags,"Fri, Nov 14",73
Fairfield Stags,"Sun, Nov 16",85
Fairfield Stags,"Sat, Nov 22",97
Fairfield Stags,"Wed, Nov 26",77
Fairfield Stags,"Sun, Nov 30",72
Fairfield Stags,"Fri, Dec 5",66
Fairfield Stags,"Sun, Dec 7",63
Fairfield Stags,"Sun, Dec 14",73
Fairfield Stags,"Thu, Dec 18",84
Fairfield Stags,"Mon, Dec 22",121
Fairfield Stags,"Mon, Dec 29",66
Fairfield Stags,"Fri, Jan 2",81
Fairfield Stags,"Sun, Jan 4",83
Fairfield Stags,"Fri, Jan 9",68
Fairfield Stags,"Wed, Jan 14",98
Fairfield Stags,"Sat, Jan 17",67
Fairfield Stags,"Mon, Jan 19",77
Fairfield Stags,"Thu, Jan 22",62
Fairfield Stags,"Sat, Jan 24",61
Fairfield Stags,"Fri, Jan 30",71
Fairfield Stags,"Sun, Feb 1",65
Fairfield Stags,"Thu, Feb 5",92
Fairfield Stags,"Sat, Feb 7",63
Fairfield Stags,"Sun, Feb 15",74
Fairfield Stags,"Fri, Feb 20",78
Fairfield Stags,"Sun, Feb 22",85
Fairfield Stags,"Fri, Feb 27",72
Fairfield Stags,"Sun, Mar 1",47
Fairfield Stags,"Thu, Mar 5",71
Fairfield Stags,"Fri, Mar 6",74
Fairfield Stags,"Sun, Mar 8",61
Tennessee Volunteers,"Fri, Mar 20",78
Tennessee Volunteers,"Mon, Nov 3",76
Tennessee Volunteers,"Sat, Nov 8",95
Tennessee Volunteers,"Wed, Nov 12",99
Tennessee Volunteers,"Mon, Nov 17",91
Tennessee Volunteers,"Thu, Nov 20",89
Tennessee Volunteers,"Mon, Nov 24",85
Tennessee Volunteers,"Tue, Nov 25",76
Tennessee Volunteers,"Wed, Nov 26",76
Tennessee Volunteers,"Tue, Dec 2",60
Tennessee Volunteers,"Sat, Dec 6",62
Tennessee Volunteers,"Tue, Dec 16",83
Tennessee Volunteers,"Sun, Dec 21",94
Tennessee Volunteers,"Tue, Dec 30",105
Tennessee Volunteers,"Sat, Jan 3",75
Tennessee Volunteers,"Tue, Jan 6",85
Tennessee Volunteers,"Sat, Jan 10",67
Tennessee Volunteers,"Tue, Jan 13",87
Tennessee Volunteers,"Sat, Jan 17",78
Tennessee Volunteers,"Sat, Jan 24",79
Tennessee Volunteers,"Wed, Jan 28",86
Tennessee Volunteers,"Sat, Jan 31",77
Tennessee Volunteers,"Tue, Feb 3",84
Tennessee Volunteers,"Sat, Feb 7",71
Tennessee Volunteers,"Wed, Feb 11",73
Tennessee Volunteers,"Sat, Feb 14",73
Tennessee Volunteers,"Wed, Feb 18",89
Tennessee Volunteers,"Sat, Feb 21",69
Tennessee Volunteers,"Tue, Feb 24",69
Tennessee Volunteers,"Sat, Feb 28",69
Tennessee Volunteers,"Tue, Mar 3",78
Tennessee Volunteers,"Sat, Mar 7",82
Tennessee Volunteers,"Thu, Mar 12",72
Tennessee Volunteers,"Fri, Mar 13",68
Fairleigh Dickinson Knights,"Mon, Nov 3",50
Fairleigh Dickinson Knights,"Sat, Nov 8",83
Fairleigh Dickinson Knights,"Wed, Nov 12",58
Fairleigh Dickinson Knights,"Sat, Nov 15",81
Fairleigh Dickinson Knights,"Tue, Nov 18",100
Fairleigh Dickinson Knights,"Mon, Nov 24",65
Fairleigh Dickinson Knights,"Wed, Nov 26",73
Fairleigh Dickinson Knights,"Tue, Dec 2",64
Fairleigh Dickinson Knights,"Thu, Dec 4",86
Fairleigh Dickinson Knights,"Wed, Dec 10",54
Fairleigh Dickinson Knights,"Fri, Dec 19",76
Fairleigh Dickinson Knights,"Mon, Dec 22",61
Fairleigh Dickinson Knights,"Mon, Dec 29",43
Fairleigh Dickinson Knights,"Fri, Jan 2",74
Fairleigh Dickinson Knights,"Sun, Jan 4",82
Fairleigh Dickinson Knights,"Thu, Jan 8",70
